"","game_id","home","away","lead_change_count","explosive_play_delta","win_prob_volatility"
"3887",401415650,"Cincinnati","Navy",0,0,0.122877044368632
"3888",401415651,"Memphis","UCF",0,2,0.169657466696425
"3889",401415652,"SMU","Houston",0,2,0.154835718160207
"3890",401415653,"Memphis","Tulsa",1,3,0.167681072416668
"3891",401415654,"Cincinnati","East Carolina",3,2,0.176037846652195
"3892",401415655,"Houston","Temple",4,2,0.216067086098894
"3893",401415656,"South Florida","SMU",0,2,0.185588833260771
"3894",401415657,"Tulane","UCF",0,1,0.132994785342849
"3895",401415658,"Tulane","SMU",0,4,0.137276658795505
"3896",401415659,"Tulsa","South Florida",1,1,0.249645787961473
"3897",401415660,"East Carolina","Houston",0,6,0.142712094168038
"3898",401415661,"UCF","Navy",0,1,0.124205146548836
"3899",401415662,"Memphis","North Alabama",0,10,0.134488653093635
"3900",401415663,"Temple","Cincinnati",0,6,0.136437374562872
"3901",401415664,"Temple","East Carolina",7,4,0.200187177752001
"3902",401415665,"Cincinnati","Tulane",2,0,0.14413602250399
"3903",401415666,"SMU","Memphis",1,0,0.258086152004055
"3904",401415667,"South Florida","UCF",2,2,0.175740210812596
"3905",401415668,"Houston","Tulsa",1,2,0.252036559284313
"3906",401416568,"Akron","St. Francis (PA)",4,6,0.179568310566801
"3907",401416569,"Oklahoma State","Central Michigan",0,1,0.195468005187073
"3908",401416590,"Eastern Michigan","Eastern Kentucky",3,4,0.262057914261717
"3909",401416591,"Michigan State","Western Michigan",1,5,0.189003680051374
"3910",401416592,"Northern Illinois","Eastern Illinois",0,2,0.10947689926515
"3911",401416594,"Ball State","Western Michigan",5,5,0.183529975191209
"3912",401416595,"Bowling Green","Eastern Kentucky",0,5,0.289329310768865
"3913",401416596,"Buffalo","Holy Cross",1,3,0.274656208113195
"3914",401416597,"Central Michigan","South Alabama",2,3,0.181631240805147
"3915",401416598,"Louisiana","Eastern Michigan",0,4,0.319588528559052
"3916",401416599,"Miami (OH)","Robert Morris",6,9,0.219444418348663
"3917",401416600,"Ball State","Murray State",0,7,0.130937066601744
"3918",401416601,"Coastal Carolina","Buffalo",5,3,0.213615715467951
"3919",401416602,"Central Michigan","Bucknell",0,9,0.195074888144433
"3920",401416603,"Kent State","Long Island University",8,12,0.248520618990501
"3921",401416604,"Eastern Michigan","Buffalo",4,0,0.157985809352846
"3922",401416605,"Georgia Southern","Ball State",1,1,0.150975112983738
"3923",401416606,"Ohio","Fordham",2,6,0.272396024495068
"3924",401416607,"Toledo","Central Michigan",0,9,0.204018540645945
"3925",401416608,"Ball State","Northern Illinois",0,1,0.125934062495869
"3926",401416609,"Akron","Bowling Green",4,2,0.2075097846694
"3927",401416610,"Buffalo","Miami (OH)",5,2,0.241833597454956
"3928",401416611,"Kent State","Ohio",0,10,0.216625339805522
"3929",401416612,"Western Michigan","New Hampshire",0,1,0.0981202296277784
"3930",401416613,"Central Michigan","Ball State",5,0,0.177865250641955
"3931",401416614,"Western Michigan","Eastern Michigan",0,3,0.109929537913602
"3932",401416615,"Northern Illinois","Toledo",0,1,0.094507808814184
"3933",401416616,"Ohio","Akron",0,6,0.106734331461065
"3934",401416617,"Bowling Green","Buffalo",0,2,0.103165349202601
"3935",401416618,"Miami (OH)","Kent State",0,0,0.30934854079646
"3936",401416619,"Akron","Central Michigan",0,2,0.260256909864552
"3937",401416620,"Eastern Michigan","Northern Illinois",0,2,0.136098857108236
"3938",401416621,"Toledo","Kent State",0,4,0.334248715885112
"3939",401416622,"Bowling Green","Miami (OH)",3,1,0.185211559814619
"3940",401416623,"Western Michigan","Ohio",0,0,0.135591022389882
"3941",401416624,"Ball State","Eastern Michigan",1,1,0.18542535601422
"3942",401416625,"Ohio","Northern Illinois",0,1,0.217642921647047
"3943",401416626,"Buffalo","Toledo",1,2,0.331333501229862
"3944",401416627,"Miami (OH)","Western Michigan",2,2,0.197824236659798
"3945",401416628,"Kent State","Akron",3,1,0.278026903490767
"3946",401416629,"Central Michigan","Bowling Green",0,4,0.132670975805407
"3947",401416630,"Eastern Michigan","Toledo",1,6,0.190793283448824
"3948",401416631,"Akron","Miami (OH)",0,6,0.170901454619085
"3949",401416632,"Kent State","Ball State",1,2,0.264913329008324
"3950",401416633,"Ohio","Buffalo",0,10,0.109971316617087
"3951",401416634,"Northern Illinois","Central Michigan",0,0,0.109313868334546
"3952",401416635,"Bowling Green","Western Michigan",0,4,0.146343586685059
"3953",401416636,"Toledo","Ball State",0,3,0.165327749063016
"3954",401416637,"Akron","Eastern Michigan",2,1,0.224574788972465
"3955",401416638,"Miami (OH)","Ohio",0,1,0.178724071333756
"3956",401416639,"Western Michigan","Northern Illinois",6,3,0.188976622089596
"3957",401416640,"Central Michigan","Buffalo",1,5,0.241813213947698
"3958",401416641,"Bowling Green","Kent State",0,5,0.183900319054977
"3959",401416642,"Toledo","Bowling Green",2,7,0.135465325093562
"3960",401416643,"Ball State","Ohio",1,3,0.199686228959807
"3961",401416644,"Kent State","Eastern Michigan",0,2,0.282703211137145
"3962",401416645,"Central Michigan","Western Michigan",1,5,0.201109098079756
"3963",401416646,"Northern Illinois","Miami (OH)",3,5,0.212648109327143
"3964",401416648,"Miami (OH)","Ball State",1,2,0.273641973053069
"3965",401416649,"Ohio","Bowling Green",0,3,0.244791497364169
"3966",401416650,"Eastern Michigan","Central Michigan",0,5,0.279557736253096
"3967",401416651,"Western Michigan","Toledo",0,3,0.224836325433386
"3968",401416652,"Northern Illinois","Akron",1,3,0.275172874812582
"3969",401416653,"Buffalo","Kent State",2,2,0.23196792082782
"3970",401418597,"Harvard","Holy Cross",6,1,0.21127377291629
"3971",401418598,"Howard","Harvard",5,0,0.177395331235823
"3972",401418599,"Harvard","Princeton",0,3,0.131664193273633
"3973",401418600,"Dartmouth","Harvard",0,7,0.202194612819832
"3974",401418601,"Pennsylvania","Harvard",0,3,0.17755921339347
"3975",401418602,"Harvard","Yale",2,1,0.149332987568934
"3976",401418603,"Dartmouth","Valparaiso",2,7,0.160088220325463
"3977",401418606,"Yale","Dartmouth",0,5,0.300660609786976
"3978",401418607,"Dartmouth","New Hampshire",5,1,0.349158123313341
"3979",401418608,"Princeton","Dartmouth",0,1,0.0918054445289472
"3980",401418630,"Austin Peay","Mississippi Valley State",0,13,0.156989010732152
"3981",401418632,"Austin Peay","Eastern Kentucky",1,4,0.284964672033686
"3982",401418633,"Central Arkansas","Austin Peay",7,1,0.241560745863914
"3983",401418634,"Austin Peay","Murray State",0,7,0.127027779250864
"3984",401418635,"North Alabama","Austin Peay",1,4,0.296530431870885
"3985",401418636,"Kennesaw State","Austin Peay",0,7,0.279934288450862
"3986",401418637,"Eastern Kentucky","Charleston Southern",0,3,0.124920039547738
"3987",401418638,"Eastern Kentucky","Southern Utah",0,3,0.145101370581191
"3988",401418639,"Eastern Kentucky","Sam Houston",2,3,0.149175653402331
"3989",401418640,"Eastern Kentucky","North Alabama",2,3,0.249627202935036
"3990",401418641,"Southeast Missouri State","Eastern Kentucky",3,3,0.292762827719171
"3991",401418642,"Eastern Kentucky","Central Arkansas",0,2,0.164909206176947
"3992",401418643,"Eastern Kentucky","Kennesaw State",4,8,0.244784807252977
